"GenBank_ID","Country","State","City","Serotype","Date","Decimal_Date","Sequence_name"
"PP269944.1","Viet_Nam","NA","NA","Dengue_3","2012-10-26","2012.81643835616","PP269944.1|Viet_Nam|NA|NA|Dengue_3|2012-10-26|2012.81643835616"
"PP269945.1","Viet_Nam","NA","NA","Dengue_3","2011-05-17","2011.37260273973","PP269945.1|Viet_Nam|NA|NA|Dengue_3|2011-05-17|2011.37260273973"
"PP269946.1","Viet_Nam","NA","NA","Dengue_3","2012-07-02","2012.49863013699","PP269946.1|Viet_Nam|NA|NA|Dengue_3|2012-07-02|2012.49863013699"
"PP269947.1","Viet_Nam","NA","NA","Dengue_3","2012-01-30","2012.07945205479","PP269947.1|Viet_Nam|NA|NA|Dengue_3|2012-01-30|2012.07945205479"
"PP269948.1","Viet_Nam","NA","NA","Dengue_3","2013-08-27","2013.65205479452","PP269948.1|Viet_Nam|NA|NA|Dengue_3|2013-08-27|2013.65205479452"
"PP269949.1","Viet_Nam","NA","NA","Dengue_3","2014-04-14","2014.28219178082","PP269949.1|Viet_Nam|NA|NA|Dengue_3|2014-04-14|2014.28219178082"
"PP269950.1","Viet_Nam","NA","NA","Dengue_3","2012-01-05","2012.01095890411","PP269950.1|Viet_Nam|NA|NA|Dengue_3|2012-01-05|2012.01095890411"
"PP269951.1","Viet_Nam","NA","NA","Dengue_3","2012-09-17","2012.7095890411","PP269951.1|Viet_Nam|NA|NA|Dengue_3|2012-09-17|2012.7095890411"
"PP269952.1","Viet_Nam","NA","NA","Dengue_3","2012-11-08","2012.85205479452","PP269952.1|Viet_Nam|NA|NA|Dengue_3|2012-11-08|2012.85205479452"
"PP269953.1","Viet_Nam","NA","NA","Dengue_3","2013-09-12","2013.69589041096","PP269953.1|Viet_Nam|NA|NA|Dengue_3|2013-09-12|2013.69589041096"
"PP269954.1","Viet_Nam","NA","NA","Dengue_3","2012-02-21","2012.1397260274","PP269954.1|Viet_Nam|NA|NA|Dengue_3|2012-02-21|2012.1397260274"
"PP269955.1","Viet_Nam","NA","NA","Dengue_3","2012-12-07","2012.93150684932","PP269955.1|Viet_Nam|NA|NA|Dengue_3|2012-12-07|2012.93150684932"
"PP269956.1","Viet_Nam","NA","NA","Dengue_3","2013-01-05","2013.01095890411","PP269956.1|Viet_Nam|NA|NA|Dengue_3|2013-01-05|2013.01095890411"
"PP269957.1","Viet_Nam","NA","NA","Dengue_3","2013-01-24","2013.06301369863","PP269957.1|Viet_Nam|NA|NA|Dengue_3|2013-01-24|2013.06301369863"
"PP269958.1","Viet_Nam","NA","NA","Dengue_3","2013-03-15","2013.2","PP269958.1|Viet_Nam|NA|NA|Dengue_3|2013-03-15|2013.2"
"PP269959.1","Viet_Nam","NA","NA","Dengue_3","2013-08-10","2013.60547945205","PP269959.1|Viet_Nam|NA|NA|Dengue_3|2013-08-10|2013.60547945205"
"PP269960.1","Viet_Nam","NA","NA","Dengue_3","2013-10-10","2013.77260273973","PP269960.1|Viet_Nam|NA|NA|Dengue_3|2013-10-10|2013.77260273973"
"PP269961.1","Viet_Nam","NA","NA","Dengue_3","2013-11-12","2013.86301369863","PP269961.1|Viet_Nam|NA|NA|Dengue_3|2013-11-12|2013.86301369863"
"PP269962.1","Viet_Nam","NA","NA","Dengue_3","2013-11-27","2013.90410958904","PP269962.1|Viet_Nam|NA|NA|Dengue_3|2013-11-27|2013.90410958904"
"PP269963.1","Viet_Nam","NA","NA","Dengue_3","2013-12-02","2013.91780821918","PP269963.1|Viet_Nam|NA|NA|Dengue_3|2013-12-02|2013.91780821918"
"PP269964.1","Viet_Nam","NA","NA","Dengue_3","2012-12-26","2012.98356164384","PP269964.1|Viet_Nam|NA|NA|Dengue_3|2012-12-26|2012.98356164384"
"PP269965.1","Viet_Nam","NA","NA","Dengue_3","2013-11-12","2013.86301369863","PP269965.1|Viet_Nam|NA|NA|Dengue_3|2013-11-12|2013.86301369863"
"PP269966.1","Viet_Nam","NA","NA","Dengue_3","2013-12-02","2013.91780821918","PP269966.1|Viet_Nam|NA|NA|Dengue_3|2013-12-02|2013.91780821918"
"PP269967.1","Viet_Nam","NA","NA","Dengue_3","2014-12-03","2014.92054794521","PP269967.1|Viet_Nam|NA|NA|Dengue_3|2014-12-03|2014.92054794521"
"PP269968.1","Viet_Nam","NA","NA","Dengue_3","2013-07-18","2013.54246575342","PP269968.1|Viet_Nam|NA|NA|Dengue_3|2013-07-18|2013.54246575342"
"PP269969.1","Viet_Nam","NA","NA","Dengue_3","2013-12-20","2013.96712328767","PP269969.1|Viet_Nam|NA|NA|Dengue_3|2013-12-20|2013.96712328767"
"PP269970.1","Viet_Nam","NA","NA","Dengue_3","2014-02-25","2014.15068493151","PP269970.1|Viet_Nam|NA|NA|Dengue_3|2014-02-25|2014.15068493151"
"PP269971.1","Viet_Nam","NA","NA","Dengue_3","2014-10-14","2014.78356164384","PP269971.1|Viet_Nam|NA|NA|Dengue_3|2014-10-14|2014.78356164384"
"PP269972.1","Viet_Nam","NA","NA","Dengue_3","2013-09-17","2013.7095890411","PP269972.1|Viet_Nam|NA|NA|Dengue_3|2013-09-17|2013.7095890411"
"PP269973.1","Viet_Nam","NA","NA","Dengue_3","2012-09-13","2012.69863013699","PP269973.1|Viet_Nam|NA|NA|Dengue_3|2012-09-13|2012.69863013699"
"PP269974.1","Viet_Nam","NA","NA","Dengue_3","2013-05-16","2013.3698630137","PP269974.1|Viet_Nam|NA|NA|Dengue_3|2013-05-16|2013.3698630137"
"PP269975.1","Viet_Nam","NA","NA","Dengue_3","2013-10-15","2013.78630136986","PP269975.1|Viet_Nam|NA|NA|Dengue_3|2013-10-15|2013.78630136986"
"PP269976.1","Viet_Nam","NA","NA","Dengue_3","2015-03-25","2015.22739726027","PP269976.1|Viet_Nam|NA|NA|Dengue_3|2015-03-25|2015.22739726027"
"PP269977.1","Viet_Nam","NA","NA","Dengue_3","2015-08-24","2015.64383561644","PP269977.1|Viet_Nam|NA|NA|Dengue_3|2015-08-24|2015.64383561644"
"PP390248.1","India","NA","NA","Dengue_3","2022-10-22","2022.80547945205","PP390248.1|India|NA|NA|Dengue_3|2022-10-22|2022.80547945205"
"PP397046.1","India","NA","NA","Dengue_3","2018-09-26","2018.73424657534","PP397046.1|India|NA|NA|Dengue_3|2018-09-26|2018.73424657534"
"PP397047.1","India","NA","NA","Dengue_3","2018-09-26","2018.73424657534","PP397047.1|India|NA|NA|Dengue_3|2018-09-26|2018.73424657534"
"OR836572.1","India","NA","NA","Dengue_3","2023-09-16","2023.70684931507","OR836572.1|India|NA|NA|Dengue_3|2023-09-16|2023.70684931507"
"OR836574.1","India","NA","NA","Dengue_3","2023-09-26","2023.73424657534","OR836574.1|India|NA|NA|Dengue_3|2023-09-26|2023.73424657534"
"OR875976.1","Indonesia","NA","NA","Dengue_3","2022-11-15","2022.87123287671","OR875976.1|Indonesia|NA|NA|Dengue_3|2022-11-15|2022.87123287671"
"OR922653.1","India","Kolkata","NA","Dengue_3","2017-10-27","2017.81917808219","OR922653.1|India|Kolkata|NA|Dengue_3|2017-10-27|2017.81917808219"
"OR922654.1","India","Kolkata","NA","Dengue_3","2017-11-07","2017.84931506849","OR922654.1|India|Kolkata|NA|Dengue_3|2017-11-07|2017.84931506849"
"OR922655.1","India","Kolkata","NA","Dengue_3","2017-11-19","2017.88219178082","OR922655.1|India|Kolkata|NA|Dengue_3|2017-11-19|2017.88219178082"
"OR922656.1","India","Kolkata","NA","Dengue_3","2017-11-16","2017.87397260274","OR922656.1|India|Kolkata|NA|Dengue_3|2017-11-16|2017.87397260274"
"OR922657.1","India","Kolkata","NA","Dengue_3","2017-11-20","2017.88493150685","OR922657.1|India|Kolkata|NA|Dengue_3|2017-11-20|2017.88493150685"
"PP087306.1","India","NA","NA","Dengue_3","2017-12-10","2017.9397260274","PP087306.1|India|NA|NA|Dengue_3|2017-12-10|2017.9397260274"
"PP087307.1","India","NA","NA","Dengue_3","2021-12-11","2021.94246575342","PP087307.1|India|NA|NA|Dengue_3|2021-12-11|2021.94246575342"
"PP087308.1","India","NA","NA","Dengue_3","2021-12-11","2021.94246575342","PP087308.1|India|NA|NA|Dengue_3|2021-12-11|2021.94246575342"
