head_node	tail_node	length	head_country	tail_country	head_date	head_dec_date	tail_date	tail_dec_date
3	4	0.0516275	India	India	1945-08-14	1945.6184660705478	2017-11-10	2017.85753424658
5	6	0.0400524	India	India	1975-10-05	1975.7589334412658	2021-06-14	2021.45205479452
8	9	0.0571086	India	India	2007-06-19	2007.463505234138	2009-04-05	2009.2602739726
8	10	0.0557643	India	India	2007-06-19	2007.463505234138	2008-10-21	2008.80821917808
7	8	0.0550933	India	India	1999-07-12	1999.5282151619444	2007-06-19	2007.463505234138
12	13	0.0625259	India	India	2007-10-23	2007.8106078006585	2019-10-18	2019.79452054795
12	14	0.0591407	India	India	2007-10-23	2007.8106078006585	2020-06-13	2020.45205479452
11	12	0.0523682	India	India	2004-10-07	2004.7676749340687	2007-10-23	2007.8106078006585
15	16	0.0530389	India	India	2007-11-13	2007.8678635892857	2008-06-13	2008.45205479452
17	18	0.052368	China	China	2009-06-14	2009.45205479452	2009-06-14	2009.45205479452
17	19	0.0537106	China	Singapore	2009-06-14	2009.45205479452	2014-05-14	2014.36712328767
15	17	0.052368	India	China	2007-11-13	2007.8678635892857	2009-06-14	2009.45205479452
11	15	0.052368	India	India	2004-10-07	2004.7676749340687	2007-11-13	2007.8678635892857
21	22	0.0584353	India	India	2018-08-31	2018.664713595643	2019-06-14	2019.45205479452
21	23	0.0570923	India	India	2018-08-31	2018.664713595643	2018-09-28	2018.7397260274
20	21	0.0570923	India	India	2006-10-05	2006.7600341958291	2018-08-31	2018.664713595643
24	25	0.0532079	India	India	2008-01-30	2008.0820220477813	2013-06-14	2013.45205479452
24	26	0.0543859	India	India	2008-01-30	2008.0820220477813	2010-06-14	2010.45205479452
20	24	0.0516948	India	India	2006-10-05	2006.7600341958291	2008-01-30	2008.0820220477813
11	20	0.0510238	India	India	2004-10-07	2004.7676749340687	2006-10-05	2006.7600341958291
7	11	0.0503529	India	India	1999-07-12	1999.5282151619444	2004-10-07	2004.7676749340687
5	7	0.0469894	India	India	1975-10-05	1975.7589334412658	1999-07-12	1999.5282151619444
3	5	0.0271619	India	India	1945-08-14	1945.6184660705478	1975-10-05	1975.7589334412658
2	3	0.0108279	India	India	1925-03-05	1925.1727830654195	1945-08-14	1945.6184660705478
28	29	0.0470255	Myanmar	Myanmar	1995-09-18	1995.7139979052988	2002-06-14	2002.45205479452
30	31	0.0544622	China	Taiwan	1999-07-02	1999.498962756832	2013-02-10	2013.11232876712
30	32	0.0490444	China	China	1999-07-02	1999.498962756832	2003-06-14	2003.45205479452
28	30	0.0456794	Myanmar	China	1995-09-18	1995.7139979052988	1999-07-02	1999.498962756832
27	28	0.0429917	Philippines	Myanmar	1953-02-09	1953.1085117318405	1995-09-18	1995.7139979052988
34	35	0.046189	Indonesia	Indonesia	2002-06-05	2002.4270501364383	2013-06-14	2013.45205479452
