Map from character to field name
A:	Cambodia
B:	China
C:	India
D:	Indonesia
E:	Laos
F:	Malaysia
G:	Myanmar
H:	Philippines
I:	Singapore
J:	Taiwan
K:	Thailand
L:	Vietnam
M:	?


Substitution rate (mu): 67.266231

Equilibrium frequencies (pi_i):
  A: 0.0607
  B: 0.0872
  C: 0.0686
  D: 0.0879
  E: 0.0804
  F: 0.0587
  G: 0.0873
  H: 0.0777
  I: 0.0923
  J: 0.0955
  K: 0.0931
  L: 0.1108

Symmetrized rates from j->i (W_ij):
	A	B	C	D	E	F	G	H	I	J	K	L
  A	0	0.7323	0.8175	0.7242	0.934	0.7624	0.7098	0.7294	0.7763	0.7612	3.5726	3.9573
  B	0.7323	0	0.7154	2.9375	0.704	2.3068	1.0797	0.7281	1.272	0.8778	1.5437	1.0801
  C	0.8175	0.7154	0	0.7463	0.7096	0.7261	0.7075	0.7681	0.8584	0.7113	1.1335	1.3143
  D	0.7242	2.9375	0.7463	0	0.7054	1.1291	0.7047	0.9795	1.5788	0.8543	0.7631	0.9967
  E	0.934	0.704	0.7096	0.7054	0	0.707	0.704	0.7055	0.728	0.7045	1.1967	1.7497
  F	0.7624	2.3068	0.7261	1.1291	0.707	0	1.0412	1.086	2.8701	0.7326	0.715	1.69
  G	0.7098	1.0797	0.7075	0.7047	0.704	1.0412	0	0.709	0.7419	0.7043	1.0679	0.7044
  H	0.7294	0.7281	0.7681	0.9795	0.7055	1.086	0.709	0	1.0545	1.8696	0.7211	0.7482
  I	0.7763	1.272	0.8584	1.5788	0.728	2.8701	0.7419	1.0545	0	0.7368	0.7634	0.9537
  J	0.7612	0.8778	0.7113	0.8543	0.7045	0.7326	0.7043	1.8696	0.7368	0	1.5	1.0117
  K	3.5726	1.5437	1.1335	0.7631	1.1967	0.715	1.0679	0.7211	0.7634	1.5	0	1.0649
  L	3.9573	1.0801	1.3143	0.9967	1.7497	1.69	0.7044	0.7482	0.9537	1.0117	1.0649	0

Actual rates from j->i (Q_ij):
	A	B	C	D	E	F	G	H	I	J	K	L
  A	0	0.0444	0.0496	0.0439	0.0567	0.0463	0.0431	0.0443	0.0471	0.0462	0.2168	0.2401
  B	0.0638	0	0.0624	0.256	0.0614	0.2011	0.0941	0.0635	0.1109	0.0765	0.1345	0.0941
  C	0.056	0.049	0	0.0512	0.0486	0.0498	0.0485	0.0527	0.0588	0.0488	0.0777	0.0901
  D	0.0637	0.2582	0.0656	0	0.062	0.0992	0.0619	0.0861	0.1388	0.0751	0.0671	0.0876
  E	0.0751	0.0566	0.057	0.0567	0	0.0568	0.0566	0.0567	0.0585	0.0566	0.0962	0.1406
  F	0.0447	0.1354	0.0426	0.0663	0.0415	0	0.0611	0.0637	0.1684	0.043	0.042	0.0992
  G	0.0619	0.0942	0.0618	0.0615	0.0614	0.0909	0	0.0619	0.0648	0.0615	0.0932	0.0615
  H	0.0567	0.0566	0.0597	0.0761	0.0548	0.0844	0.0551	0	0.0819	0.1452	0.056	0.0581
  I	0.0716	0.1174	0.0792	0.1457	0.0672	0.2648	0.0685	0.0973	0	0.068	0.0704	0.088
  J	0.0727	0.0839	0.0679	0.0816	0.0673	0.07	0.0673	0.1786	0.0704	0	0.1433	0.0966
  K	0.3327	0.1437	0.1056	0.0711	0.1114	0.0666	0.0994	0.0671	0.0711	0.1397	0	0.0992
  L	0.4384	0.1197	0.1456	0.1104	0.1939	0.1872	0.078	0.0829	0.1057	0.1121	0.118	0
