"traits"	"location"
"PP269825.1|Viet_Nam|NA|NA|Dengue_2|2013-02-21|2013.1397260274"	"Southern_Vietnam"
"PP269826.1|Viet_Nam|NA|NA|Dengue_2|2012-02-22|2012.14246575342"	"Southern_Vietnam"
"PP269829.1|Viet_Nam|NA|NA|Dengue_2|2013-05-09|2013.35068493151"	"Southern_Vietnam"
"PP269828.1|Viet_Nam|NA|NA|Dengue_2|2013-07-31|2013.57808219178"	"Southern_Vietnam"
"PP269831.1|Viet_Nam|NA|NA|Dengue_2|2012-03-30|2012.24109589041"	"Southern_Vietnam"
"PP269837.1|Viet_Nam|NA|NA|Dengue_2|2015-10-09|2015.7698630137"	"Southern_Vietnam"
"PP269851.1|Viet_Nam|NA|NA|Dengue_2|2013-03-28|2013.23561643836"	"Southern_Vietnam"
"PP269855.1|Viet_Nam|NA|NA|Dengue_2|2014-10-29|2014.82465753425"	"Southern_Vietnam"
"PP269866.1|Viet_Nam|NA|NA|Dengue_2|2013-08-13|2013.61369863014"	"Southern_Vietnam"
"PP269863.1|Viet_Nam|NA|NA|Dengue_2|2014-09-22|2014.72328767123"	"Southern_Vietnam"
"PP269890.1|Viet_Nam|NA|NA|Dengue_2|2020-05-12|2020.35890410959"	"Southern_Vietnam"
"PP269916.1|Viet_Nam|NA|NA|Dengue_2|2022-08-12|2022.61095890411"	"Southern_Vietnam"
"PP269912.1|Viet_Nam|NA|NA|Dengue_2|2023-02-02|2023.08767123288"	"Southern_Vietnam"
"PP269903.1|Viet_Nam|NA|NA|Dengue_2|2022-06-21|2022.46849315068"	"Southern_Vietnam"
"PP269921.1|Viet_Nam|NA|NA|Dengue_2|2022-10-10|2022.77260273973"	"Southern_Vietnam"
"PP269920.1|Viet_Nam|NA|NA|Dengue_2|2023-02-06|2023.09863013699"	"Southern_Vietnam"
"PP269925.1|Viet_Nam|NA|NA|Dengue_2|2016-10-25|2016.81369863014"	"Southern_Vietnam"
"PP269926.1|Viet_Nam|NA|NA|Dengue_2|2016-12-09|2016.93698630137"	"Southern_Vietnam"
"PP269927.1|Viet_Nam|NA|NA|Dengue_2|2016-12-22|2016.97260273973"	"Southern_Vietnam"
"PP269932.1|Viet_Nam|NA|NA|Dengue_2|2017-05-08|2017.34794520548"	"Southern_Vietnam"
"PP269930.1|Viet_Nam|NA|NA|Dengue_2|2017-04-12|2017.27671232877"	"Southern_Vietnam"
"PP269929.1|Viet_Nam|NA|NA|Dengue_2|2017-01-04|2017.00821917808"	"Southern_Vietnam"
"PP269934.1|Viet_Nam|NA|NA|Dengue_2|2017-08-23|2017.64109589041"	"Southern_Vietnam"
"PP396280.1|Cambodia|NA|NA|Dengue_2|2021-11-29|2021.9095890411"	"Cambodia"
"PP087793.1|Taiwan|Kaohsiung|NA|Dengue_2|2023-07-15|2023.53424657534"	"Taiwan"
"OR389020.1|Cambodia|NA|NA|Dengue_2|2009-06-15|2009.45205479452"	"Cambodia"
"OQ832572.1|Viet_Nam|NA|NA|Dengue_2|2019-10-15|2019.78630136986"	"North_Vietnam"
"OQ832591.1|Viet_Nam|Hanoi|NA|Dengue_2|2020-09-15|2020.70410958904"	"North_Vietnam"
"OQ832625.1|Viet_Nam|Hanoi|NA|Dengue_2|2020-09-15|2020.70410958904"	"North_Vietnam"
"OQ832627.1|Viet_Nam|Hanoi|NA|Dengue_2|2020-09-15|2020.70410958904"	"North_Vietnam"
"OQ928149.1|China|Yunnan_Province|NA|Dengue_2|2019-09-15|2019.70410958904"	"Yunnan"
