Accession,Organism_Name,Submitters,Organization,Org_location,Release_Date,Isolate,Species,Length,Geo_Location,Region,Collection_Date
MT138786.1,Dengue virus 2,"He,Z., Guan,J.","Chinese Academy of Medical Sciences & Peking Union Medical College Institute of Medical Biology, Molecular epidemiology Laboratory",China,23/10/2023,HNNS201801,Orthoflavivirus denguei,1056,China,Hunan,2018-09
MT138787.1,Dengue virus 2,"He,Z., Guan,J.","Chinese Academy of Medical Sciences & Peking Union Medical College Institute of Medical Biology, Molecular epidemiology Laboratory",China,23/10/2023,HNNS201802,Orthoflavivirus denguei,1056,China,Hunan,2018-09
MT138788.1,Dengue virus 2,"He,Z., Guan,J.","Chinese Academy of Medical Sciences & Peking Union Medical College Institute of Medical Biology, Molecular epidemiology Laboratory",China,23/10/2023,HNNS201803,Orthoflavivirus denguei,1056,China,Hunan,2018-09
MT138789.1,Dengue virus 2,"He,Z., Guan,J.","Chinese Academy of Medical Sciences & Peking Union Medical College Institute of Medical Biology, Molecular epidemiology Laboratory",China,23/10/2023,HNNS201804,Orthoflavivirus denguei,1056,China,Hunan,2018-09
MT138790.1,Dengue virus 2,"He,Z., Guan,J.","Chinese Academy of Medical Sciences & Peking Union Medical College Institute of Medical Biology, Molecular epidemiology Laboratory",China,23/10/2023,HNNS201805,Orthoflavivirus denguei,1056,China,Hunan,2018-09
MT138791.1,Dengue virus 2,"He,Z., Guan,J.","Chinese Academy of Medical Sciences & Peking Union Medical College Institute of Medical Biology, Molecular epidemiology Laboratory",China,23/10/2023,HNNS201806,Orthoflavivirus denguei,1056,China,Hunan,2018-09
MT138792.1,Dengue virus 2,"He,Z., Guan,J.","Chinese Academy of Medical Sciences & Peking Union Medical College Institute of Medical Biology, Molecular epidemiology Laboratory",China,23/10/2023,HNNS201807,Orthoflavivirus denguei,1056,China,Hunan,2018-09
MT138793.1,Dengue virus 2,"He,Z., Guan,J.","Chinese Academy of Medical Sciences & Peking Union Medical College Institute of Medical Biology, Molecular epidemiology Laboratory",China,23/10/2023,HNNS201808,Orthoflavivirus denguei,1056,China,Hunan,2018-09
MT138794.1,Dengue virus 2,"He,Z., Guan,J.","Chinese Academy of Medical Sciences & Peking Union Medical College Institute of Medical Biology, Molecular epidemiology Laboratory",China,23/10/2023,HNNS201809,Orthoflavivirus denguei,1056,China,Hunan,2018-09
MT138795.1,Dengue virus 2,"He,Z., Guan,J.","Chinese Academy of Medical Sciences & Peking Union Medical College Institute of Medical Biology, Molecular epidemiology Laboratory",China,23/10/2023,HNNS201810,Orthoflavivirus denguei,1056,China,Hunan,2018-09
MT138796.1,Dengue virus 2,"He,Z., Guan,J.","Chinese Academy of Medical Sciences & Peking Union Medical College Institute of Medical Biology, Molecular epidemiology Laboratory",China,23/10/2023,HNNS201811,Orthoflavivirus denguei,1056,China,Hunan,2018-09
OR418422.1,dengue virus type 1,"Su,W., Lu,W., Cao,Y.","Guangzhou Center for Disease Control and Prevention, Derpartment of Virology",China,15/08/2023,23GZ09930A_D1_F,Orthoflavivirus denguei,10734,China: Guangzhou,Guangdong,10/06/2023
OR418375.1,dengue virus type 2,"Su,W., Lu,W., Cao,Y.","Guangzhou Center for Disease Control and Prevention, Derpartment of Virology",China,14/08/2023,23GZ15317A_D2,Orthoflavivirus denguei,3192,China: Guangzhou,Guangdong,03/08/2023
OR418376.1,dengue virus type 2,"Su,W., Lu,W., Cao,Y.","Guangzhou Center for Disease Control and Prevention, Derpartment of Virology",China,14/08/2023,23GZ15325A_D2,Orthoflavivirus denguei,1412,China: Guangzhou,Guangdong,03/08/2023
OR364147.1,dengue virus type 2,"Su,W., Lu,W., Cao,Y.","Guangzhou Center for Disease Control and Prevention, Derpartment of Virology",China,05/08/2023,23GZ14862_D2_A,Orthoflavivirus denguei,1372,China: Guangzhou,Guangdong,28/07/2023
OR364401.1,dengue virus type 3,"Su,W., Lu,W., Cao,Y.","Guangzhou Center for Disease Control and Prevention, Derpartment of Virology and Immunology",China,05/08/2023,23GZ14235_D3_THA,Orthoflavivirus denguei,1538,China: Guangzhou,Guangdong,20/06/2023
OR364402.1,dengue virus type 3,"Su,W., Lu,W., Cao,Y.","Guangzhou Center for Disease Control and Prevention, Derpartment of Virology",China,05/08/2023,23GZ10604_D3_THA,Orthoflavivirus denguei,1588,China: Guangzhou,Guangdong,15/06/2023
OR362802.1,dengue virus type 1,"Su,W., Lu,W., Cao,Y.","Guangzhou Center for Disease Control and Prevention, Derpartment of Virology and Immunology",China,04/08/2023,23GZ14287_D1,Orthoflavivirus denguei,1834,China: Guangzhou,Guangdong,24/07/2023
OR268572.1,dengue virus type 2,"Su,W., Lu,W., Cao,Y.","Guangzhou Center for Disease Control and Prevention, Derpartment of Virology",China,19/07/2023,23GZ13355_D2_Baiyun,Orthoflavivirus denguei,1518,China: Guangzhou,Guangdong,07/07/2023
OQ948473.1,dengue virus type 3,"Li,Y.","Sun Yat-sen University, Institute of Human Virology, Zhongshan School of Medicine, and Key Laboratory of Tropical Disease Control of Ministry of Education",China,23/06/2023,D191267,Orthoflavivirus denguei,10570,China,Unknown,2019-09
OQ948474.1,dengue virus type 3,"Li,Y.","Sun Yat-sen University, Institute of Human Virology, Zhongshan School of Medicine, and Key Laboratory of Tropical Disease Control of Ministry of Education",China,23/06/2023,DV3syn,Orthoflavivirus denguei,10707,China,Unknown,2019-09
OR150112.1,dengue virus type 3,"Li,Y.-P., Hu,M., Wu,D., Wu,T.","Sun Yat-sen University, Institute of Human Virology, Zhongshan School of Medicine, and Key Laboratory of Tropical Disease Control of Ministry of Education",China,23/06/2023,GD14D3,Orthoflavivirus denguei,7851,China,Unknown,01/09/2014
OR125606.1,dengue virus type 2,"Su,W., Lu,W., Cao,Y.","Guangzhou Center for Disease Control and Prevention, Derpartment of Virology",China,18/06/2023,23GZ06966_DENV-2_IDN,Orthoflavivirus denguei,10723,China: Guangzhou,Guangdong,06/05/2023
OR126888.1,dengue virus type 1,"Su,W., Lu,W., Cao,Y.","Guangzhou Center for Disease Control and Prevention, Derpartment of Virology",China,18/06/2023,23GZ09930,Orthoflavivirus denguei,1622,China: Guangzhou,Guangdong,09/06/2023
OP919573.1,dengue virus type 1,"Meng,J.X., Hu,Q.M., Zhang,L.M., Li,N., He,Y.W., Yang,Z.X., Sun,Y., Wang,J.L., Meng,J., Wang,J.","Yunnan Animal Science and Veterinary Institute, Yunnan Tropical and Subtropical Animal Virus Disease Laboratory",China,06/06/2023,JHS55,Orthoflavivirus denguei,1485,China,Yunnan,08/11/2019
OP919574.1,dengue virus type 1,"Meng,J.X., Hu,Q.M., Zhang,L.M., Li,N., He,Y.W., Yang,Z.X., Sun,Y., Wang,J.L., Meng,J., Wang,J.","Yunnan Animal Science and Veterinary Institute, Yunnan Tropical and Subtropical Animal Virus Disease Laboratory",China,06/06/2023,JHB10,Orthoflavivirus denguei,1485,China,Yunnan,28/10/2019
OP919575.1,dengue virus type 1,"Meng,J.X., Hu,Q.M., Zhang,L.M., Li,N., He,Y.W., Yang,Z.X., Sun,Y., Wang,J.L., Meng,J., Wang,J.","Yunnan Animal Science and Veterinary Institute, Yunnan Tropical and Subtropical Animal Virus Disease Laboratory",China,06/06/2023,JHB14,Orthoflavivirus denguei,1485,China,Yunnan,28/10/2019
OP919576.1,dengue virus type 1,"Meng,J.X., Hu,Q.M., Zhang,L.M., Li,N., He,Y.W., Yang,Z.X., Sun,Y., Wang,J.L., Meng,J., Wang,J.","Yunnan Animal Science and Veterinary Institute, Yunnan Tropical and Subtropical Animal Virus Disease Laboratory",China,06/06/2023,JHB26,Orthoflavivirus denguei,1485,China,Yunnan,29/10/2019
OP919577.1,dengue virus type 1,"Meng,J.X., Hu,Q.M., Zhang,L.M., Li,N., He,Y.W., Yang,Z.X., Sun,Y., Wang,J.L., Meng,J., Wang,J.","Yunnan Animal Science and Veterinary Institute, Yunnan Tropical and Subtropical Animal Virus Disease Laboratory",China,06/06/2023,JHB28,Orthoflavivirus denguei,1485,China,Yunnan,29/10/2019
OP919578.1,dengue virus type 1,"Meng,J.X., Hu,Q.M., Zhang,L.M., Li,N., He,Y.W., Yang,Z.X., Sun,Y., Wang,J.L., Meng,J., Wang,J.","Yunnan Animal Science and Veterinary Institute, Yunnan Tropical and Subtropical Animal Virus Disease Laboratory",China,06/06/2023,JHS1,Orthoflavivirus denguei,1485,China,Yunnan,28/10/2019
