Accession,Organism_Name,Submitters,Organization,Org_location,Release_Date,Length,Nuc_Completeness,Geo_Location,Region,Host,Isolation_Source,Collection_Date,GenBank_Title
PP434971.1,dengue virus type 2,"Navero-Castillejos,J., Martinez-Yoldi,M.J.","ISGlobal-Clinical and Provincial Hospital of Barcelona, Department of Microbiology",Spain,10/03/2024,1485,partial,Viet Nam,Unknown,Homo sapiens,blood,2019-08,"Dengue virus type 2 isolate HCBD2534 polyprotein, envelope protein E region, (POLY) gene, partial cds"
PP434973.1,dengue virus type 2,"Navero-Castillejos,J., Martinez-Yoldi,M.J.","ISGlobal-Clinical and Provincial Hospital of Barcelona, Department of Microbiology",Spain,10/03/2024,1485,partial,Viet Nam,Unknown,Homo sapiens,blood,2019-10,"Dengue virus type 2 isolate HCBD2619 polyprotein, envelope protein E region, (POLY) gene, partial cds"
OQ521584.1,dengue virus type I,"Nabeshima,T., Thi Thanh,N.N., Matsuzaki,A., Xayavong,D., Fraenkel,S., Qiang,X., Nwe,K.M., Palma,J.C.B., Tun,M.M.N., Thuy Duong,N.T., Mai,L.T.Q., Morita,K., Hasebe,F., Takamatsu,Y.","Nagasaki University, Institute of Tropical Medicine",Japan,01/03/2024,1552,partial,Viet Nam,South,Homo sapiens,blood,2022-05,"Dengue virus type I isolate D1-3032-VungTau-2022 polyprotein (POLY) gene, partial cds"
OQ521585.1,dengue virus type I,"Nabeshima,T., Thi Thanh,N.N., Matsuzaki,A., Xayavong,D., Fraenkel,S., Qiang,X., Nwe,K.M., Palma,J.C.B., Tun,M.M.N., Thuy Duong,N.T., Mai,L.T.Q., Morita,K., Hasebe,F., Takamatsu,Y.","Nagasaki University, Institute of Tropical Medicine",Japan,01/03/2024,1665,partial,Viet Nam,South,Homo sapiens,blood,2022-04,"Dengue virus type I isolate D1-3157-VungTau-2022 polyprotein (POLY) gene, partial cds"
OQ521586.1,dengue virus type I,"Nabeshima,T., Thi Thanh,N.N., Matsuzaki,A., Xayavong,D., Fraenkel,S., Qiang,X., Nwe,K.M., Palma,J.C.B., Tun,M.M.N., Thuy Duong,N.T., Mai,L.T.Q., Morita,K., Hasebe,F., Takamatsu,Y.","Nagasaki University, Institute of Tropical Medicine",Japan,01/03/2024,1606,partial,Viet Nam,South,Homo sapiens,blood,2022-04,"Dengue virus type I isolate D1-3174-VungTau-2022 polyprotein (POLY) gene, partial cds"
OQ521587.1,dengue virus type I,"Nabeshima,T., Thi Thanh,N.N., Matsuzaki,A., Xayavong,D., Fraenkel,S., Qiang,X., Nwe,K.M., Palma,J.C.B., Tun,M.M.N., Thuy Duong,N.T., Mai,L.T.Q., Morita,K., Hasebe,F., Takamatsu,Y.","Nagasaki University, Institute of Tropical Medicine",Japan,01/03/2024,1607,partial,Viet Nam,South,Homo sapiens,blood,2022-04,"Dengue virus type I isolate D1-3247-VungTau-2022 polyprotein (POLY) gene, partial cds"
OQ521588.1,dengue virus type I,"Nabeshima,T., Thi Thanh,N.N., Matsuzaki,A., Xayavong,D., Fraenkel,S., Qiang,X., Nwe,K.M., Palma,J.C.B., Tun,M.M.N., Thuy Duong,N.T., Mai,L.T.Q., Morita,K., Hasebe,F., Takamatsu,Y.","Nagasaki University, Institute of Tropical Medicine",Japan,01/03/2024,1671,partial,Viet Nam,South,Homo sapiens,blood,2022-04,"Dengue virus type I isolate D1-3256-VungTau-2022 polyprotein (POLY) gene, partial cds"
OQ521589.1,dengue virus type I,"Nabeshima,T., Thi Thanh,N.N., Matsuzaki,A., Xayavong,D., Fraenkel,S., Qiang,X., Nwe,K.M., Palma,J.C.B., Tun,M.M.N., Thuy Duong,N.T., Mai,L.T.Q., Morita,K., Hasebe,F., Takamatsu,Y.","Nagasaki University, Institute of Tropical Medicine",Japan,01/03/2024,1607,partial,Viet Nam,South,Homo sapiens,blood,2022-04,"Dengue virus type I isolate D1-3286-2022 polyprotein (POLY) gene, partial cds"
OQ521590.1,dengue virus type I,"Nabeshima,T., Thi Thanh,N.N., Matsuzaki,A., Xayavong,D., Fraenkel,S., Qiang,X., Nwe,K.M., Palma,J.C.B., Tun,M.M.N., Thuy Duong,N.T., Mai,L.T.Q., Morita,K., Hasebe,F., Takamatsu,Y.","Nagasaki University, Institute of Tropical Medicine",Japan,01/03/2024,1677,partial,Viet Nam,South,Homo sapiens,blood,2022-06,"Dengue virus type I isolate D1-3126-VungTau-2022 polyprotein (POLY) gene, partial cds"
OQ521591.1,dengue virus type I,"Nabeshima,T., Thi Thanh,N.N., Matsuzaki,A., Xayavong,D., Fraenkel,S., Qiang,X., Nwe,K.M., Palma,J.C.B., Tun,M.M.N., Thuy Duong,N.T., Mai,L.T.Q., Morita,K., Hasebe,F., Takamatsu,Y.","Nagasaki University, Institute of Tropical Medicine",Japan,01/03/2024,1683,partial,Viet Nam,South,Homo sapiens,blood,2022-04,"Dengue virus type I isolate D1-3207-VungTau-2022 polyprotein (POLY) gene, partial cds"
