GenBank_ID,Country,State,City,Serotype,Date,Decimal_Date,Sequence_name,genotype,Year,Month,Week,Continent,weights
OP090396.1,Viet_Nam,NA,NA,Dengue_2,2022-04-01,2022.24657534247,OP090396.1|Viet_Nam|NA|NA|Dengue_2|2022-04-01|2022.24657534247,DENV2/AI,2022,2022-04-01,2022-03-27,Asia,0.0208333333333333
FM210229.1,Viet_Nam,South,NA,Dengue_2,2003-06-15,2003.45205479452,FM210229.1|Viet_Nam|South|NA|Dengue_2|2003-06-15|2003.45205479452,DENV2/AA,2003,2003-06-01,2003-06-15,Asia,0.0454545454545455
GU211743.1,Viet_Nam,South,NA,Dengue_2,2003-06-15,2003.45205479452,GU211743.1|Viet_Nam|South|NA|Dengue_2|2003-06-15|2003.45205479452,DENV2/AA,2003,2003-06-01,2003-06-15,Asia,0.0454545454545455
OQ521644.1,Viet_Nam,NA,NA,Dengue_2,2022-06-15,2022.45205479452,OQ521644.1|Viet_Nam|NA|NA|Dengue_2|2022-06-15|2022.45205479452,DENV2/C,2022,2022-06-01,2022-06-12,Asia,0.0208333333333333
PP269916.1,Viet_Nam,NA,NA,Dengue_2,2022-08-12,2022.61095890411,PP269916.1|Viet_Nam|NA|NA|Dengue_2|2022-08-12|2022.61095890411,DENV2/C,2022,2022-08-01,2022-08-07,Asia,0.0208333333333333
GU908510.1,Viet_Nam,south,NA,Dengue_2,2009-07-17,2009.5397260274,GU908510.1|Viet_Nam|south|NA|Dengue_2|2009-07-17|2009.5397260274,DENV2/AI,2009,2009-07-01,2009-07-12,Asia,0.0666666666666667
OQ521643.1,Viet_Nam,NA,NA,Dengue_2,2022-06-15,2022.45205479452,OQ521643.1|Viet_Nam|NA|NA|Dengue_2|2022-06-15|2022.45205479452,DENV2/C,2022,2022-06-01,2022-06-12,Asia,0.0208333333333333
OQ521626.1,Viet_Nam,NA,NA,Dengue_2,2022-04-15,2022.28493150685,OQ521626.1|Viet_Nam|NA|NA|Dengue_2|2022-04-15|2022.28493150685,DENV2/C,2022,2022-04-01,2022-04-10,Asia,0.0208333333333333
GU434158.1,Viet_Nam,South,NA,Dengue_2,2004-06-15,2004.45205479452,GU434158.1|Viet_Nam|South|NA|Dengue_2|2004-06-15|2004.45205479452,DENV2/AI,2004,2004-06-01,2004-06-13,Asia,0.0434782608695652
PP269825.1,Viet_Nam,NA,NA,Dengue_2,2013-02-21,2013.1397260274,PP269825.1|Viet_Nam|NA|NA|Dengue_2|2013-02-21|2013.1397260274,DENV2/AI,2013,2013-02-01,2013-02-17,Asia,0.0555555555555556
PP269851.1,Viet_Nam,NA,NA,Dengue_2,2013-03-28,2013.23561643836,PP269851.1|Viet_Nam|NA|NA|Dengue_2|2013-03-28|2013.23561643836,DENV2/AI,2013,2013-03-01,2013-03-24,Asia,0.0555555555555556
JN376785.1,Viet_Nam,Mekong_Delta,NA,Dengue_2,2002-06-15,2002.45205479452,JN376785.1|Viet_Nam|Mekong_Delta|NA|Dengue_2|2002-06-15|2002.45205479452,DENV2/AA,2002,2002-06-01,2002-06-09,Asia,0.2
PP269927.1,Viet_Nam,NA,NA,Dengue_2,2016-12-22,2016.97260273973,PP269927.1|Viet_Nam|NA|NA|Dengue_2|2016-12-22|2016.97260273973,DENV2/AI,2016,2016-12-01,2016-12-18,Asia,0.333333333333333
PP269929.1,Viet_Nam,NA,NA,Dengue_2,2017-01-04,2017.00821917808,PP269929.1|Viet_Nam|NA|NA|Dengue_2|2017-01-04|2017.00821917808,DENV2/AI,2017,2017-01-01,2017-01-01,Asia,0.0833333333333333
GU211758.1,Viet_Nam,NA,NA,Dengue_2,2006-06-15,2006.45205479452,GU211758.1|Viet_Nam|NA|NA|Dengue_2|2006-06-15|2006.45205479452,DENV2/AA,2006,2006-06-01,2006-06-11,Asia,0.0125
GU908494.1,Viet_Nam,south,NA,Dengue_2,2009-08-07,2009.59726027397,GU908494.1|Viet_Nam|south|NA|Dengue_2|2009-08-07|2009.59726027397,DENV2/AI,2009,2009-08-01,2009-08-02,Asia,0.0666666666666667
KY971730.1,Viet_Nam,NA,NA,Dengue_2,2015-06-15,2015.45205479452,KY971730.1|Viet_Nam|NA|NA|Dengue_2|2015-06-15|2015.45205479452,DENV2/C,2015,2015-06-01,2015-06-14,Asia,0.0357142857142857
KP769811.1,Viet_Nam,GiaLai,NA,Dengue_2,2010-06-15,2010.45205479452,KP769811.1|Viet_Nam|GiaLai|NA|Dengue_2|2010-06-15|2010.45205479452,DENV2/AI,2010,2010-06-01,2010-06-13,Asia,0.125
GU908520.1,Viet_Nam,north,NA,Dengue_2,2008-10-21,2008.80273972603,GU908520.1|Viet_Nam|north|NA|Dengue_2|2008-10-21|2008.80273972603,DENV2/AI,2008,2008-10-01,2008-10-19,Asia,0.0384615384615385
FJ410193.1,Viet_Nam,South,NA,Dengue_2,2007-06-15,2007.45205479452,FJ410193.1|Viet_Nam|South|NA|Dengue_2|2007-06-15|2007.45205479452,DENV2/AI,2007,2007-06-01,2007-06-10,Asia,0.0158730158730159
