GenBank_ID,Country,State,City,Serotype,Date,Decimal_Date,Sequence_name,genotype,Year,Month,Week,Continent,weights
OQ521607.1,Viet_Nam,NA,NA,Dengue_1,2022-05-15,2022.36712328767,OQ521607.1|Viet_Nam|NA|NA|Dengue_1|2022-05-15|2022.36712328767,DENV1/I,2022,2022-05-01,2022-05-15,Asia,0.0192307692307692
PP269519.1,Viet_Nam,NA,NA,Dengue_1,2011-11-09,2011.85479452055,PP269519.1|Viet_Nam|NA|NA|Dengue_1|2011-11-09|2011.85479452055,DENV1/I,2011,2011-11-01,2011-11-06,Asia,0.027027027027027
EU660401.1,Viet_Nam,South,NA,Dengue_1,2006-06-15,2006.45205479452,EU660401.1|Viet_Nam|South|NA|Dengue_1|2006-06-15|2006.45205479452,DENV1/I,2006,2006-06-01,2006-06-11,Asia,0.0053475935828877
PP269518.1,Viet_Nam,NA,NA,Dengue_1,2011-07-29,2011.57260273973,PP269518.1|Viet_Nam|NA|NA|Dengue_1|2011-07-29|2011.57260273973,DENV1/I,2011,2011-07-01,2011-07-24,Asia,0.027027027027027
PP269704.1,Viet_Nam,NA,NA,Dengue_1,2020-11-30,2020.91232876712,PP269704.1|Viet_Nam|NA|NA|Dengue_1|2020-11-30|2020.91232876712,DENV1/I,2020,2020-11-01,2020-11-29,Asia,0.0526315789473684
PP269646.1,Viet_Nam,NA,NA,Dengue_1,2014-07-18,2014.54246575342,PP269646.1|Viet_Nam|NA|NA|Dengue_1|2014-07-18|2014.54246575342,DENV1/I,2014,2014-07-01,2014-07-13,Asia,0.0185185185185185
GQ868610.1,Viet_Nam,South,NA,Dengue_1,2007-06-15,2007.45205479452,GQ868610.1|Viet_Nam|South|NA|Dengue_1|2007-06-15|2007.45205479452,DENV1/I,2007,2007-06-01,2007-06-10,Asia,0.00294985250737463
PP269812.1,Viet_Nam,NA,NA,Dengue_1,2018-01-10,2018.02465753425,PP269812.1|Viet_Nam|NA|NA|Dengue_1|2018-01-10|2018.02465753425,DENV1/I,2018,2018-01-01,2018-01-07,Asia,0.00884955752212389
OQ426635.1,Viet_Nam,Nha_Trang,NA,Dengue_1,2019-02-25,2019.15068493151,OQ426635.1|Viet_Nam|Nha_Trang|NA|Dengue_1|2019-02-25|2019.15068493151,DENV1/I,2019,2019-02-01,2019-02-24,Asia,0.0163934426229508
PP269750.1,Viet_Nam,NA,NA,Dengue_1,2016-12-14,2016.95068493151,PP269750.1|Viet_Nam|NA|NA|Dengue_1|2016-12-14|2016.95068493151,DENV1/I,2016,2016-12-01,2016-12-11,Asia,0.05
OQ426730.1,Viet_Nam,Nha_Trang,NA,Dengue_1,2018-11-09,2018.85479452055,OQ426730.1|Viet_Nam|Nha_Trang|NA|Dengue_1|2018-11-09|2018.85479452055,DENV1/I,2018,2018-11-01,2018-11-04,Asia,0.00884955752212389
OQ426696.1,Viet_Nam,Nha_Trang,NA,Dengue_1,2017-04-24,2017.3095890411,OQ426696.1|Viet_Nam|Nha_Trang|NA|Dengue_1|2017-04-24|2017.3095890411,DENV1/I,2017,2017-04-01,2017-04-23,Asia,0.00719424460431655
KC861979.1,Viet_Nam,NA,NA,Dengue_1,2002-06-15,2002.45205479452,KC861979.1|Viet_Nam|NA|NA|Dengue_1|2002-06-15|2002.45205479452,DENV1/I,2002,2002-06-01,2002-06-09,Asia,0.25
GQ199839.1,Viet_Nam,South,NA,Dengue_1,2006-06-15,2006.45205479452,GQ199839.1|Viet_Nam|South|NA|Dengue_1|2006-06-15|2006.45205479452,DENV1/I,2006,2006-06-01,2006-06-11,Asia,0.0053475935828877
OQ426620.1,Viet_Nam,Nha_Trang,NA,Dengue_1,2018-12-19,2018.96438356164,OQ426620.1|Viet_Nam|Nha_Trang|NA|Dengue_1|2018-12-19|2018.96438356164,DENV1/I,2018,2018-12-01,2018-12-16,Asia,0.00884955752212389
PP269702.1,Viet_Nam,NA,NA,Dengue_1,2020-09-09,2020.68767123288,PP269702.1|Viet_Nam|NA|NA|Dengue_1|2020-09-09|2020.68767123288,DENV1/I,2020,2020-09-01,2020-09-06,Asia,0.0526315789473684
KY971711.1,Viet_Nam,NA,NA,Dengue_1,2010-06-15,2010.45205479452,KY971711.1|Viet_Nam|NA|NA|Dengue_1|2010-06-15|2010.45205479452,DENV1/I,2010,2010-06-01,2010-06-13,Asia,0.0666666666666667
PP269659.1,Viet_Nam,NA,NA,Dengue_1,2014-11-24,2014.89589041096,PP269659.1|Viet_Nam|NA|NA|Dengue_1|2014-11-24|2014.89589041096,DENV1/I,2014,2014-11-01,2014-11-23,Asia,0.0185185185185185
PP269683.1,Viet_Nam,NA,NA,Dengue_1,2014-10-08,2014.76712328767,PP269683.1|Viet_Nam|NA|NA|Dengue_1|2014-10-08|2014.76712328767,DENV1/I,2014,2014-10-01,2014-10-05,Asia,0.0185185185185185
PP269706.1,Viet_Nam,NA,NA,Dengue_1,2022-06-06,2022.42739726027,PP269706.1|Viet_Nam|NA|NA|Dengue_1|2022-06-06|2022.42739726027,DENV1/I,2022,2022-06-01,2022-06-05,Asia,0.0192307692307692
PP269703.1,Viet_Nam,NA,NA,Dengue_1,2020-11-09,2020.85479452055,PP269703.1|Viet_Nam|NA|NA|Dengue_1|2020-11-09|2020.85479452055,DENV1/I,2020,2020-11-01,2020-11-08,Asia,0.0526315789473684
PP269513.1,Viet_Nam,NA,NA,Dengue_1,2011-12-23,2011.97534246575,PP269513.1|Viet_Nam|NA|NA|Dengue_1|2011-12-23|2011.97534246575,DENV1/I,2011,2011-12-01,2011-12-18,Asia,0.027027027027027
PP269551.1,Viet_Nam,NA,NA,Dengue_1,2013-01-08,2013.01917808219,PP269551.1|Viet_Nam|NA|NA|Dengue_1|2013-01-08|2013.01917808219,DENV1/I,2013,2013-01-01,2013-01-06,Asia,0.0181818181818182
OQ521622.1,Viet_Nam,NA,NA,Dengue_1,2022-06-15,2022.45205479452,OQ521622.1|Viet_Nam|NA|NA|Dengue_1|2022-06-15|2022.45205479452,DENV1/I,2022,2022-06-01,2022-06-12,Asia,0.0192307692307692
FJ898395.1,Viet_Nam,South,NA,Dengue_1,2005-06-15,2005.45205479452,FJ898395.1|Viet_Nam|South|NA|Dengue_1|2005-06-15|2005.45205479452,DENV1/I,2005,2005-06-01,2005-06-12,Asia,0.0555555555555556
