GenBank_ID,Country,State,City,Virus_name,Date,Decimal_Date,Sequence_name
PP269722.1,Viet_Nam,NA,NA,dengue_virus_type_1,2015-10-21,2015.80273972603,PP269722.1|Viet_Nam|NA|NA|dengue_virus_type_1|2015-10-21|2015.80273972603
PP269723.1,Viet_Nam,NA,NA,dengue_virus_type_1,2015-11-02,2015.83561643836,PP269723.1|Viet_Nam|NA|NA|dengue_virus_type_1|2015-11-02|2015.83561643836
PP269724.1,Viet_Nam,NA,NA,dengue_virus_type_1,2015-11-04,2015.84109589041,PP269724.1|Viet_Nam|NA|NA|dengue_virus_type_1|2015-11-04|2015.84109589041
PP269725.1,Viet_Nam,NA,NA,dengue_virus_type_1,2015-11-11,2015.8602739726,PP269725.1|Viet_Nam|NA|NA|dengue_virus_type_1|2015-11-11|2015.8602739726
PP269726.1,Viet_Nam,NA,NA,dengue_virus_type_1,2015-11-27,2015.90410958904,PP269726.1|Viet_Nam|NA|NA|dengue_virus_type_1|2015-11-27|2015.90410958904
PP269727.1,Viet_Nam,NA,NA,dengue_virus_type_1,2015-11-30,2015.91232876712,PP269727.1|Viet_Nam|NA|NA|dengue_virus_type_1|2015-11-30|2015.91232876712
PP269728.1,Viet_Nam,NA,NA,dengue_virus_type_1,2015-12-02,2015.91780821918,PP269728.1|Viet_Nam|NA|NA|dengue_virus_type_1|2015-12-02|2015.91780821918
PP269729.1,Viet_Nam,NA,NA,dengue_virus_type_1,2015-12-08,2015.93424657534,PP269729.1|Viet_Nam|NA|NA|dengue_virus_type_1|2015-12-08|2015.93424657534
PP269730.1,Viet_Nam,NA,NA,dengue_virus_type_1,2015-12-14,2015.95068493151,PP269730.1|Viet_Nam|NA|NA|dengue_virus_type_1|2015-12-14|2015.95068493151
PP269731.1,Viet_Nam,NA,NA,dengue_virus_type_1,2015-12-16,2015.95616438356,PP269731.1|Viet_Nam|NA|NA|dengue_virus_type_1|2015-12-16|2015.95616438356
PP269732.1,Viet_Nam,NA,NA,dengue_virus_type_1,2015-12-18,2015.96164383562,PP269732.1|Viet_Nam|NA|NA|dengue_virus_type_1|2015-12-18|2015.96164383562
PP269733.1,Viet_Nam,NA,NA,dengue_virus_type_1,2015-12-18,2015.96164383562,PP269733.1|Viet_Nam|NA|NA|dengue_virus_type_1|2015-12-18|2015.96164383562
PP269734.1,Viet_Nam,NA,NA,dengue_virus_type_1,2015-12-21,2015.9698630137,PP269734.1|Viet_Nam|NA|NA|dengue_virus_type_1|2015-12-21|2015.9698630137
PP269735.1,Viet_Nam,NA,NA,dengue_virus_type_1,2015-12-22,2015.97260273973,PP269735.1|Viet_Nam|NA|NA|dengue_virus_type_1|2015-12-22|2015.97260273973
PP269736.1,Viet_Nam,NA,NA,dengue_virus_type_1,2015-12-31,2015.99726027397,PP269736.1|Viet_Nam|NA|NA|dengue_virus_type_1|2015-12-31|2015.99726027397
PP269737.1,Viet_Nam,NA,NA,dengue_virus_type_1,2015-12-31,2015.99726027397,PP269737.1|Viet_Nam|NA|NA|dengue_virus_type_1|2015-12-31|2015.99726027397
PP269738.1,Viet_Nam,NA,NA,dengue_virus_type_1,2016-01-07,2016.01643835616,PP269738.1|Viet_Nam|NA|NA|dengue_virus_type_1|2016-01-07|2016.01643835616
PP269739.1,Viet_Nam,NA,NA,dengue_virus_type_1,2016-01-11,2016.02739726027,PP269739.1|Viet_Nam|NA|NA|dengue_virus_type_1|2016-01-11|2016.02739726027
PP269740.1,Viet_Nam,NA,NA,dengue_virus_type_1,2017-09-25,2017.73150684932,PP269740.1|Viet_Nam|NA|NA|dengue_virus_type_1|2017-09-25|2017.73150684932
PP269741.1,Viet_Nam,NA,NA,dengue_virus_type_1,2016-10-25,2016.81369863014,PP269741.1|Viet_Nam|NA|NA|dengue_virus_type_1|2016-10-25|2016.81369863014
PP269742.1,Viet_Nam,NA,NA,dengue_virus_type_1,2016-10-28,2016.82191780822,PP269742.1|Viet_Nam|NA|NA|dengue_virus_type_1|2016-10-28|2016.82191780822
PP269743.1,Viet_Nam,NA,NA,dengue_virus_type_1,2016-11-02,2016.83561643836,PP269743.1|Viet_Nam|NA|NA|dengue_virus_type_1|2016-11-02|2016.83561643836
PP269744.1,Viet_Nam,NA,NA,dengue_virus_type_1,2016-11-22,2016.8904109589,PP269744.1|Viet_Nam|NA|NA|dengue_virus_type_1|2016-11-22|2016.8904109589
PP269745.1,Viet_Nam,NA,NA,dengue_virus_type_1,2016-11-23,2016.89315068493,PP269745.1|Viet_Nam|NA|NA|dengue_virus_type_1|2016-11-23|2016.89315068493
PP269746.1,Viet_Nam,NA,NA,dengue_virus_type_1,2016-11-24,2016.89589041096,PP269746.1|Viet_Nam|NA|NA|dengue_virus_type_1|2016-11-24|2016.89589041096
PP269747.1,Viet_Nam,NA,NA,dengue_virus_type_1,2016-12-05,2016.92602739726,PP269747.1|Viet_Nam|NA|NA|dengue_virus_type_1|2016-12-05|2016.92602739726
PP269748.1,Viet_Nam,NA,NA,dengue_virus_type_1,2016-12-05,2016.92602739726,PP269748.1|Viet_Nam|NA|NA|dengue_virus_type_1|2016-12-05|2016.92602739726
PP269749.1,Viet_Nam,NA,NA,dengue_virus_type_1,2016-12-13,2016.94794520548,PP269749.1|Viet_Nam|NA|NA|dengue_virus_type_1|2016-12-13|2016.94794520548
PP269750.1,Viet_Nam,NA,NA,dengue_virus_type_1,2016-12-14,2016.95068493151,PP269750.1|Viet_Nam|NA|NA|dengue_virus_type_1|2016-12-14|2016.95068493151
PP269751.1,Viet_Nam,NA,NA,dengue_virus_type_1,2016-12-14,2016.95068493151,PP269751.1|Viet_Nam|NA|NA|dengue_virus_type_1|2016-12-14|2016.95068493151
PP269752.1,Viet_Nam,NA,NA,dengue_virus_type_1,2016-12-21,2016.9698630137,PP269752.1|Viet_Nam|NA|NA|dengue_virus_type_1|2016-12-21|2016.9698630137
PP269753.1,Viet_Nam,NA,NA,dengue_virus_type_1,2016-12-30,2016.99452054795,PP269753.1|Viet_Nam|NA|NA|dengue_virus_type_1|2016-12-30|2016.99452054795
PP269754.1,Viet_Nam,NA,NA,dengue_virus_type_1,2017-01-09,2017.02191780822,PP269754.1|Viet_Nam|NA|NA|dengue_virus_type_1|2017-01-09|2017.02191780822
PP269755.1,Viet_Nam,NA,NA,dengue_virus_type_1,2017-02-03,2017.0904109589,PP269755.1|Viet_Nam|NA|NA|dengue_virus_type_1|2017-02-03|2017.0904109589
PP269756.1,Viet_Nam,NA,NA,dengue_virus_type_1,2017-02-06,2017.09863013699,PP269756.1|Viet_Nam|NA|NA|dengue_virus_type_1|2017-02-06|2017.09863013699
PP269757.1,Viet_Nam,NA,NA,dengue_virus_type_1,2017-02-13,2017.11780821918,PP269757.1|Viet_Nam|NA|NA|dengue_virus_type_1|2017-02-13|2017.11780821918
PP269758.1,Viet_Nam,NA,NA,dengue_virus_type_1,2017-02-13,2017.11780821918,PP269758.1|Viet_Nam|NA|NA|dengue_virus_type_1|2017-02-13|2017.11780821918
PP269759.1,Viet_Nam,NA,NA,dengue_virus_type_1,2017-02-22,2017.14246575342,PP269759.1|Viet_Nam|NA|NA|dengue_virus_type_1|2017-02-22|2017.14246575342
PP269760.1,Viet_Nam,NA,NA,dengue_virus_type_1,2017-02-25,2017.15068493151,PP269760.1|Viet_Nam|NA|NA|dengue_virus_type_1|2017-02-25|2017.15068493151
PP269761.1,Viet_Nam,NA,NA,dengue_virus_type_1,2017-02-27,2017.15616438356,PP269761.1|Viet_Nam|NA|NA|dengue_virus_type_1|2017-02-27|2017.15616438356
PP269762.1,Viet_Nam,NA,NA,dengue_virus_type_1,2017-02-27,2017.15616438356,PP269762.1|Viet_Nam|NA|NA|dengue_virus_type_1|2017-02-27|2017.15616438356
PP269763.1,Viet_Nam,NA,NA,dengue_virus_type_1,2017-03-02,2017.16438356164,PP269763.1|Viet_Nam|NA|NA|dengue_virus_type_1|2017-03-02|2017.16438356164
PP269764.1,Viet_Nam,NA,NA,dengue_virus_type_1,2017-03-03,2017.16712328767,PP269764.1|Viet_Nam|NA|NA|dengue_virus_type_1|2017-03-03|2017.16712328767
PP269765.1,Viet_Nam,NA,NA,dengue_virus_type_1,2017-03-03,2017.16712328767,PP269765.1|Viet_Nam|NA|NA|dengue_virus_type_1|2017-03-03|2017.16712328767
PP269766.1,Viet_Nam,NA,NA,dengue_virus_type_1,2017-03-09,2017.18356164384,PP269766.1|Viet_Nam|NA|NA|dengue_virus_type_1|2017-03-09|2017.18356164384
PP269767.1,Viet_Nam,NA,NA,dengue_virus_type_1,2017-03-10,2017.18630136986,PP269767.1|Viet_Nam|NA|NA|dengue_virus_type_1|2017-03-10|2017.18630136986
PP269768.1,Viet_Nam,NA,NA,dengue_virus_type_1,2017-03-13,2017.19452054795,PP269768.1|Viet_Nam|NA|NA|dengue_virus_type_1|2017-03-13|2017.19452054795
PP269769.1,Viet_Nam,NA,NA,dengue_virus_type_1,2017-03-14,2017.19726027397,PP269769.1|Viet_Nam|NA|NA|dengue_virus_type_1|2017-03-14|2017.19726027397
PP269770.1,Viet_Nam,NA,NA,dengue_virus_type_1,2017-03-16,2017.20273972603,PP269770.1|Viet_Nam|NA|NA|dengue_virus_type_1|2017-03-16|2017.20273972603
PP269771.1,Viet_Nam,NA,NA,dengue_virus_type_1,2017-04-04,2017.25479452055,PP269771.1|Viet_Nam|NA|NA|dengue_virus_type_1|2017-04-04|2017.25479452055
PP269772.1,Viet_Nam,NA,NA,dengue_virus_type_1,2017-04-18,2017.29315068493,PP269772.1|Viet_Nam|NA|NA|dengue_virus_type_1|2017-04-18|2017.29315068493
PP269773.1,Viet_Nam,NA,NA,dengue_virus_type_1,2017-04-19,2017.29589041096,PP269773.1|Viet_Nam|NA|NA|dengue_virus_type_1|2017-04-19|2017.29589041096
PP269774.1,Viet_Nam,NA,NA,dengue_virus_type_1,2017-04-19,2017.29589041096,PP269774.1|Viet_Nam|NA|NA|dengue_virus_type_1|2017-04-19|2017.29589041096
PP269775.1,Viet_Nam,NA,NA,dengue_virus_type_1,2017-05-09,2017.35068493151,PP269775.1|Viet_Nam|NA|NA|dengue_virus_type_1|2017-05-09|2017.35068493151
PP269776.1,Viet_Nam,NA,NA,dengue_virus_type_1,2017-05-10,2017.35342465753,PP269776.1|Viet_Nam|NA|NA|dengue_virus_type_1|2017-05-10|2017.35342465753
PP269777.1,Viet_Nam,NA,NA,dengue_virus_type_1,2017-05-13,2017.36164383562,PP269777.1|Viet_Nam|NA|NA|dengue_virus_type_1|2017-05-13|2017.36164383562
PP269778.1,Viet_Nam,NA,NA,dengue_virus_type_1,2017-05-22,2017.38630136986,PP269778.1|Viet_Nam|NA|NA|dengue_virus_type_1|2017-05-22|2017.38630136986
PP269779.1,Viet_Nam,NA,NA,dengue_virus_type_1,2017-06-15,2017.45205479452,PP269779.1|Viet_Nam|NA|NA|dengue_virus_type_1|2017-06-15|2017.45205479452
PP269780.1,Viet_Nam,NA,NA,dengue_virus_type_1,2017-06-15,2017.45205479452,PP269780.1|Viet_Nam|NA|NA|dengue_virus_type_1|2017-06-15|2017.45205479452
PP269781.1,Viet_Nam,NA,NA,dengue_virus_type_1,2017-06-16,2017.45479452055,PP269781.1|Viet_Nam|NA|NA|dengue_virus_type_1|2017-06-16|2017.45479452055
PP269782.1,Viet_Nam,NA,NA,dengue_virus_type_1,2017-06-21,2017.46849315068,PP269782.1|Viet_Nam|NA|NA|dengue_virus_type_1|2017-06-21|2017.46849315068
PP269783.1,Viet_Nam,NA,NA,dengue_virus_type_1,2017-06-26,2017.48219178082,PP269783.1|Viet_Nam|NA|NA|dengue_virus_type_1|2017-06-26|2017.48219178082
PP269784.1,Viet_Nam,NA,NA,dengue_virus_type_1,2017-06-27,2017.48493150685,PP269784.1|Viet_Nam|NA|NA|dengue_virus_type_1|2017-06-27|2017.48493150685
PP269785.1,Viet_Nam,NA,NA,dengue_virus_type_1,2017-06-28,2017.48767123288,PP269785.1|Viet_Nam|NA|NA|dengue_virus_type_1|2017-06-28|2017.48767123288
PP269786.1,Viet_Nam,NA,NA,dengue_virus_type_1,2017-06-29,2017.4904109589,PP269786.1|Viet_Nam|NA|NA|dengue_virus_type_1|2017-06-29|2017.4904109589
PP269787.1,Viet_Nam,NA,NA,dengue_virus_type_1,2017-07-12,2017.52602739726,PP269787.1|Viet_Nam|NA|NA|dengue_virus_type_1|2017-07-12|2017.52602739726
PP269788.1,Viet_Nam,NA,NA,dengue_virus_type_1,2017-07-14,2017.53150684932,PP269788.1|Viet_Nam|NA|NA|dengue_virus_type_1|2017-07-14|2017.53150684932
PP269789.1,Viet_Nam,NA,NA,dengue_virus_type_1,2017-07-24,2017.55890410959,PP269789.1|Viet_Nam|NA|NA|dengue_virus_type_1|2017-07-24|2017.55890410959
